timestamp,ticket,symbol,direction,lot,entry,sl,tp,sl_pips,tp_pips,rr,pattern,timeframe,quality,confidence,reasoning,magic
2026-04-06T07:33:27.776916,1574710912,USDJPY,BUY,0.01,159.672,159.382,160.252,29.0,58.0,2.0,InsideBar,H4,A,82,Starke Confluence (4/5) mit perfektem Trend-Alignment (H4 + HTF beide UP) und sauberer InsideBar-Formation nach Pullback. London Session bietet optima,21001
2026-04-06T07:33:37.894913,1574711412,EURJPY,BUY,0.01,184.257,183.927,184.907,33.0,65.0,1.97,Engulfing,H4,A,85,Perfektes Setup: Starkes Bullish Engulfing (90% Body) nach Korrektur; komplette Trend-Alignment H4+HTF; Confluence 4/5 mit SR-Level und London Session,21003
2026-04-06T07:33:53.218269,1574711676,EURGBP,BUY,0.01,0.87265,0.87145,0.87495,12.0,23.0,1.92,Engulfing,H4,B,75,Solides Setup mit Engulfing-Pattern nach mehreren Bärischen Kerzen; starker Confluence 4/5 und perfektem Trend-Alignment (H4+HTF bullish). London Sess,21003
2026-04-06T07:34:00.314507,1574711799,EURAUD,SELL,0.01,1.66876,1.67236,1.66156,36.0,72.0,2.0,InsideBar,H4,B,75,Solides Setup mit hoher Confluence (4/5) und sauberer InsideBar nach starkem Downtrend. H4-Trend aligned; London Session optimal. Einziger Schwachpunk,21001
2026-04-06T07:34:07.239826,1574712029,GBPAUD,SELL,0.01,1.91237,1.91587,1.90537,35.0,70.0,2.0,InsideBar,H4,B,75,Starke Confluence (4/5) mit InsideBar an wichtigem S/R-Level und klarem H4-Downtrend. London Session bietet gute Liquidität. Leicht reduziertes SL da ,21001
2026-04-06T08:03:25.475199,1574782701,AUDJPY,BUY,0.01,110.487,110.167,111.127,32.0,64.0,2.0,OrderBlock,H4,A,85,Starkes A-Setup: Confluence 4/5 mit OrderBlock + Trend + S/R Level in London Session. Saubere Bullish-Struktur mit starker letzter Kerze (73% Body). 2,21000
2026-04-06T08:03:35.526723,1574782969,AUDCAD,BUY,0.01,0.96484,0.96194,0.97064,29.0,58.0,2.0,OrderBlock,H4,B,75,Starke Confluence (4/5) mit OrderBlock-Setup in London Session und H4-Uptrend. Saubere bullische Momentum-Kerzen zeigen Käufer-Kontrolle. HTF neutral ,21000
2026-04-06T08:04:08.830813,1574784239,EURUSD,BUY,0.01,1.15657,1.15527,1.15907,13.0,25.0,1.92,InsideBar,H1,B,75,Solides Setup mit 4/5 Confluence - InsideBar nach starkem Bullrun (-2 Kerze +311 Pips) an potenziellem S/R Level. London Session und H1-Uptrend unters,21001
2026-04-06T10:03:39.812593,1574976404,NZDUSD,SELL,0.01,0.5722,0.574,0.5685,18.0,37.0,2.06,InsideBar,H4,B,75,Solides Setup mit HTF-Trend-Alignment und guter Confluence. InsideBar nach mehreren Bären-Kerzen deutet auf Fortsetzung hin. London Session bietet gut,21001
2026-04-06T12:23:37.081212,1575190698,GBPUSD,SELL,0.01,1.32357,1.32537,1.31977,18.0,38.0,2.11,PinBar,H1,B,75,Starkes Setup mit HTF-Trend Alignment. PinBar an D1 Support während NY Session. 4/5 Confluence und gutes R:R 2.1. Nur B wegen neutralem H4-Trend.,21000
2026-04-06T12:23:52.620832,1575191221,GBPUSD,SELL,0.01,1.32364,1.32544,1.31984,18.0,38.0,2.11,InsideBar,H1,B,75,Starke Confluence 4/5 mit HTF-Trend alignment. Inside Bar an D1 Support für Sell; gutes R:R 2.1; NY Session aktiv. Leicht reduzierte Qualität da H4 ne,21001
2026-04-06T12:23:59.232921,1575191602,USDJPY,BUY,0.01,159.542,159.372,159.892,17.0,35.0,2.06,PinBar,H1,B,75,Starke Confluence 4/5 mit HTF-UP-Trend aligned. PinBar + D1_RESISTANCE Zone + NY Session. R:R 2.1 erfüllt Min-Kriterium. H4 neutral schwächt Setup lei,21000
2026-04-06T12:24:05.623785,1575191968,USDJPY,BUY,0.01,159.542,159.372,159.892,17.0,35.0,2.06,InsideBar,H1,B,75,Solide Inside Bar Setup mit HTF-Trend alignment. 4/5 Confluence; optimales R:R 2.1; NY Session Volatilität. Jedoch H4 neutral und an D1 Resistance - r,21001
2026-04-06T12:24:13.229128,1575192119,USDCHF,BUY,0.01,0.79836,0.79716,0.80096,12.0,26.0,2.17,InsideBar,H1,A,85,Starke Confluence 4/5 mit HTF-Trend alignment. InsideBar an D1-Support mit H4-OB während NY-Session. R:R 2.1 optimal; SL im akzeptablen Bereich.,21001
2026-04-06T12:24:19.849396,1575192377,NZDUSD,SELL,0.01,0.57178,0.57278,0.56958,10,22.0,2.2,Engulfing,H1,A,85,Starkes A-Setup: Engulfing mit HTF-Trend DOWN; hohe Confluence 4/5; optimales R:R 2.1; D1-Support als Reversal-Zone; NY-Session für Volatilität,21003
2026-04-06T12:24:41.991978,1575192603,EURCAD,BUY,0.01,1.60731,1.60571,1.61071,16.0,34.0,2.12,InsideBar,H1,B,75,Solides B-Setup: InsideBar mit HTF-UP Trend; D1 Support Zone; NY Session Overlap. R:R 2.1 erfüllt Minimum. Confluence 4/5 stark. H4 neutral schwächt l,21001
2026-04-06T12:24:51.384429,1575192772,AUDJPY,BUY,0.01,110.476,110.316,110.816,16.0,34.0,2.12,InsideBar,H1,A,85,Starke Confluence 4/5 mit Inside Bar; H4 Uptrend; D1 Support Zone; H4 Order Block und NY Session. R:R 2.1 optimal. HTF neutral erlaubt Trade mit H4 Tr,21001
